0.200001 0.604317
0.400001 3.3
0.600001 3.78
0.800001 4.68
1 4.44
1.2 3.96
1.4 4.08
1.6 4.8
1.8 4.32
2 3.96
2.2 4.08
2.4 4.8
2.6 4.32
2.8 3.96
3 4.2
3.2 4.68
3.4 4.32
3.6 3.96
3.8 4.2
4 4.68
4.2 4.32
4.4 3.96
4.6 4.2
4.8 4.8
5 4.2
5.2 3.96
5.4 4.2
5.6 4.8
5.8 4.2
6 3.96
6.2 4.32
6.4 4.68
6.6 4.2
6.8 3.96
7 4.32
7.2 4.68
7.4 4.2
7.6 3.96
7.8 4.32
8 4.8
8.2 4.08
8.4 3.96
8.6 4.32
8.8 4.8
9 4.08
9.2 3.96
9.4 4.44
9.6 4.68
9.8 4.08
10 3.96
10.2 4.44
10.4 4.68
10.6 4.08
10.8 3.96
11 4.44
11.2 4.8
11.4 3.96
11.6 3.96
11.8 4.44
12 4.8
12.2 3.96
12.4 3.96
12.6 4.56
12.8 4.68
13 3.96
13.2 3.96
13.4 4.56
13.6 4.68
13.8 3.96
14 3.96
14.2 4.56
14.4 4.68
14.6 3.96
14.8 3.96
15 4.56
15.2 4.68
15.4 3.96
15.6 3.96
15.8 4.68
16 4.56
16.2 3.96
16.4 3.96
16.6 4.68
16.8 4.56
17 3.96
17.2 3.96
17.4 4.68
17.6 4.56
17.8 3.96
18 3.96
18.2 4.68
18.4 4.56
18.6 3.96
18.8 3.96
19 4.68
19.2 4.56
19.4 3.96
19.6 3.96
19.8 4.8
20 4.44
20.2 3.96
20.4 4.08
20.6 4.68
20.8 4.44
21 3.96
21.2 4.08
21.4 4.68
21.6 4.44
21.8 3.96
22 4.08
22.2 4.68
22.4 4.44
22.6 3.96
22.8 4.08
23 4.8
23.2 4.32
23.4 3.96
23.6 4.08
23.8 4.8
24 4.32
24.2 3.96
24.4 4.2
24.6 4.68
24.8 4.32
25 3.96
25.2 4.2
25.4 4.68
25.6 4.32
25.8 3.96
26 4.2
26.2 4.8
26.4 4.2
26.6 3.96
26.8 4.2
27 4.8
27.2 4.2
27.4 3.96
27.6 4.32
27.8 4.68
28 4.2
28.2 3.96
28.4 4.32
28.6 4.68
28.8 4.2
29 3.96
29.2 4.32
29.4 4.8
29.6 4.08
29.8 3.96
30 4.32
30.2 4.8
30.4 4.08
30.6 3.96
30.8 4.44
31 4.68
31.2 4.08
31.4 3.96
31.6 4.44
31.8 4.68
32 4.08
32.2 3.96
32.4 4.44
32.6 4.8
32.8 3.96
33 3.96
33.2 4.44
33.4 4.8
33.6 3.96
33.8 3.96
34 4.56
34.2 4.68
34.4 3.96
34.6 3.96
34.8 4.56
35 4.68
35.2 3.96
35.4 3.96
35.6 4.56
35.8 4.68
36 3.96
36.2 3.96
36.4 4.56
36.6 4.68
36.8 3.96
37 3.96
37.2 4.68
37.4 4.56
37.6 3.96
37.8 3.96
38 4.68
38.2 4.56
38.4 3.96
38.6 3.96
38.8 4.68
39 4.56
39.2 3.96
39.4 3.96
39.6 4.68
39.8 4.56
40 3.96
40.2 3.96
40.4 4.8
40.6 4.44
40.8 3.96
41 3.96
41.2 4.8
41.4 4.44
41.6 3.96
41.8 4.08
42 4.68
42.2 4.44
42.4 3.96
42.6 4.08
42.8 4.68
43 4.44
43.2 3.96
43.4 4.08
43.6 4.8
43.8 4.32
44 3.96
44.2 4.08
44.4 4.8
44.6 4.32
44.8 3.96
45 4.2
45.2 4.68
45.4 4.32
45.6 3.96
45.8 4.2
46 4.68
46.2 4.32
46.4 3.96
46.6 4.2
46.8 4.68
47 4.32
47.2 3.96
47.4 4.2
47.6 4.8
47.8 4.2
48 3.96
48.2 4.32
48.4 4.68
48.6 4.2
48.8 3.96
49 4.32
49.2 4.68
49.4 4.2
49.6 3.96
49.8 4.32
50 4.68
50.2 4.2
50.4 3.96
50.6 4.32
50.8 4.8
51 4.08
51.2 3.96
51.4 4.32
51.6 4.8
51.8 4.08
52 3.96
52.2 4.44
52.4 4.68
52.6 4.08
52.8 3.96
53 4.44
53.2 4.68
53.4 4.08
53.6 3.96
53.8 4.44
54 4.8
54.2 3.96
54.4 3.96
54.6 4.44
54.8 4.8
55 3.96
55.2 3.96
55.4 4.56
55.6 4.68
55.8 3.96
56 3.96
56.2 4.56
56.4 4.68
56.6 3.96
56.8 3.96
57 4.56
57.2 4.68
57.4 3.96
57.6 3.96
57.8 4.56
58 4.68
58.2 3.96
58.4 3.96
58.6 4.68
58.8 4.56
59 3.96
59.2 3.96
59.4 4.68
59.6 4.56
59.8 3.96
