0.200001 1.56431
0.400001 14.16
0.600001 20.04
0.800001 19.92
1 19.5
1.2 0
1.4 10.32
1.6 8.46
1.8 6.66
2 7.62
2.2 0.84
2.4 9.66
2.6 14.16
2.8 10.02
3 10.08
3.2 10.02
3.4 10.02
3.6 10.08
3.8 10.02
4 10.08
4.2 10.02
4.4 10.08
4.6 10.02
4.8 10.08
5 10.02
5.2 10.02
5.4 10.08
5.6 10.02
5.8 10.08
6 10.02
6.2 10.08
6.4 10.02
6.6 10.08
6.8 10.02
7 10.02
7.2 10.08
7.4 10.02
7.6 10.08
7.8 10.02
8 10.08
8.2 9.96
8.4 10.08
8.6 10.02
8.8 10.02
9 10.08
9.2 10.02
9.4 10.08
9.6 10.02
9.8 10.02
10 10.02
10.2 10.08
10.4 10.02
10.6 10.02
10.8 10.08
11 10.02
11.2 10.02
11.4 10.02
11.6 10.08
11.8 10.02
12 10.08
12.2 10.02
12.4 9.96
12.6 10.08
12.8 10.02
13 10.08
13.2 10.02
13.4 10.08
13.6 9.96
13.8 10.08
14 10.02
14.2 10.02
14.4 10.08
14.6 9.96
14.8 10.08
15 10.02
15.2 10.08
15.4 9.96
15.6 9.96
15.8 10.08
16 4.32
16.2 6.48
16.4 6.36
16.6 7.44
16.8 7.26
17 9.96
17.2 7.08
17.4 0.42
17.6 5.28
17.8 6.66
18 5.4
18.2 6.36
18.4 5.82
18.6 5.28
18.8 9.36
19 10.08
19.2 9.6
19.4 10.08
19.6 9.06
19.8 10.08
20 10.14
20.2 8.22
20.4 5.88
20.6 7.14
20.8 5.94
21 7.2
21.2 10.08
21.4 8.16
21.6 5.94
21.8 5.52
22 9.66
22.2 6.36
22.4 8.76
22.6 6.48
22.8 5.64
23 6.12
23.2 5.52
23.4 5.34
23.6 5.1
23.8 5.04
24 5.04
24.2 9
24.4 9.06
24.6 6.3
24.8 8.1
25 6.36
25.2 6.72
25.4 5.82
25.6 4.98
25.8 2.34
26 3.72
26.2 4.26
26.4 4.62
26.6 5.16
26.8 5.04
27 5.22
27.2 7.98
27.4 5.94
27.6 8.82
27.8 10.14
28 9.84
28.2 10.08
28.4 10.14
28.6 9.6
28.8 6.3
29 5.46
29.2 5.76
29.4 10.02
29.6 10.14
29.8 10.08
30 9.84
30.2 9.66
30.4 6.42
30.6 5.64
30.8 7.74
31 10.08
31.2 9.66
31.4 10.14
31.6 10.08
31.8 10.08
32 10.08
32.2 9.3
32.4 6.42
32.6 9.54
32.8 9.66
33 10.14
33.2 7.08
33.4 5.82
33.6 6.66
33.8 5.76
34 6.06
34.2 5.1
34.4 2.58
34.6 3.66
34.8 4.44
35 7.86
35.2 10.2
35.4 7.5
35.6 5.52
35.8 5.22
36 5.1
36.2 6.24
36.4 10.08
36.6 10.14
36.8 10.08
37 10.14
37.2 10.08
37.4 10.14
37.6 10.08
37.8 10.14
38 10.08
38.2 10.08
38.4 7.86
38.6 5.88
38.8 5.34
39 5.22
39.2 5.1
39.4 5.46
39.6 10.08
39.8 10.08
40 7.44
40.2 5.82
40.4 5.46
40.6 5.22
40.8 7.2
41 6.12
41.2 5.58
41.4 4.08
41.6 3.24
41.8 8.16
42 7.68
42.2 5.64
42.4 8.82
42.6 7.44
42.8 5.52
43 6.66
43.2 5.28
43.4 8.22
43.6 10.14
43.8 10.14
44 10.14
44.2 6.84
44.4 5.58
44.6 5.22
44.8 5.16
45 7.26
45.2 6.24
45.4 6.72
45.6 10.14
45.8 10.08
46 10.14
46.2 10.08
46.4 10.08
46.6 10.08
46.8 10.14
47 10.02
47.2 7.08
47.4 6.36
47.6 5.64
47.8 10.14
48 8.76
48.2 6.3
48.4 5.58
48.6 5.28
48.8 2.16
49 3.54
49.2 6.24
49.4 5.34
49.6 5.1
49.8 8.4
50 10.2
50.2 10.08
50.4 7.62
50.6 5.58
50.8 5.34
51 8.64
51.2 9.54
51.4 6.24
51.6 5.46
51.8 5.16
52 5.04
52.2 5.04
52.4 4.98
52.6 4.98
52.8 4.98
53 4.98
53.2 4.98
53.4 4.98
53.6 4.98
53.8 4.92
54 7.44
54.2 10.14
54.4 10.08
54.6 10.14
54.8 10.02
55 10.02
55.2 6.54
55.4 8.4
55.6 6.36
55.8 6.18
56 5.4
56.2 5.28
56.4 5.28
56.6 9.3
56.8 10.08
57 8.52
57.2 9.24
57.4 9.36
57.6 8.22
57.8 10.02
58 10.14
58.2 10.02
58.4 10.08
58.6 10.08
58.8 10.02
59 10.14
59.2 8.82
59.4 9.96
59.6 10.02
59.8 10.14
60 10.02
