0.200001 1.57679
0.400001 7.49952
0.600001 9.73728
0.800001 10.0397
1 9.91872
1.2 9.85824
1.4 9.85824
1.6 9.85824
1.8 9.79776
2 9.85824
2.2 9.85824
2.4 9.85824
2.6 9.79776
2.8 9.85824
3 9.85824
3.2 9.85824
3.4 9.79776
3.6 9.85824
3.8 9.85824
4 9.85824
4.2 9.79776
4.4 9.85824
4.6 9.85824
4.8 9.85824
5 9.79776
5.2 9.85824
5.4 9.85824
5.6 9.85824
5.8 9.79776
6 9.85824
6.2 9.85824
6.4 9.85824
6.6 9.85824
6.8 9.79776
7 9.85824
7.2 9.85824
7.4 9.85824
7.6 9.79776
7.8 9.85824
8 9.85824
8.2 9.85824
8.4 9.79776
8.6 9.85824
8.8 9.85824
9 9.85824
9.2 9.79776
9.4 9.85824
9.6 9.85824
9.8 9.85824
10 9.79776
10.2 9.85824
10.4 9.85824
10.6 9.85824
10.8 9.85824
11 9.79776
11.2 9.85824
11.4 9.85824
11.6 9.85824
11.8 9.79776
12 9.85824
12.2 9.85824
12.4 9.85824
12.6 9.79776
12.8 9.85824
13 9.85824
13.2 9.85824
13.4 9.79776
13.6 9.85824
13.8 9.85824
14 9.85824
14.2 9.79776
14.4 9.85824
14.6 9.85824
14.8 9.85824
15 9.79776
15.2 9.85824
15.4 9.79776
15.6 9.79776
15.8 6.77376
16 5.01984
16.2 4.59648
16.4 8.64864
16.6 5.7456
16.8 9.25344
17 9.6768
17.2 8.83008
17.4 7.56
17.6 5.08032
17.8 4.65696
18 4.59648
18.2 6.16896
18.4 5.1408
18.6 5.26176
18.8 9.49536
19 10.1002
19.2 9.3744
19.4 9.85824
19.6 8.7696
19.8 9.79776
20 9.85824
20.2 7.01568
20.4 5.32224
20.6 7.13664
20.8 5.08032
21 8.7696
21.2 10.0397
21.4 6.71328
21.6 4.95936
21.8 7.19712
22 8.64864
22.2 5.98752
22.4 8.7696
22.6 5.38272
22.8 5.4432
23 5.20128
23.2 4.65696
23.4 4.59648
23.6 4.536
23.8 4.536
24 7.37856
24.2 9.19296
24.4 7.37856
24.6 6.77376
24.8 7.49952
25 5.98752
25.2 5.4432
25.4 4.65696
25.6 4.59648
25.8 4.47552
26 4.71744
26.2 4.77792
26.4 4.77792
26.6 5.20128
26.8 4.89888
27 5.62464
27.2 7.19712
27.4 5.38272
27.6 9.43488
27.8 9.79776
28 9.9792
28.2 9.85824
28.4 9.85824
28.6 8.64864
28.8 5.38272
29 4.77792
29.2 7.31808
29.4 10.1002
29.6 9.85824
29.8 9.79776
30 9.49536
30.2 8.52768
30.4 5.38272
30.6 4.89888
30.8 9.9792
31 9.79776
31.2 9.55584
31.4 9.85824
31.6 9.85824
31.8 9.79776
32 9.85824
32.2 7.68096
32.4 7.01568
32.6 9.61632
32.8 9.85824
33 8.83008
33.2 5.4432
33.4 5.32224
33.6 6.22944
33.8 5.4432
34 5.1408
34.2 4.65696
34.4 4.59648
34.6 4.59648
34.8 4.8384
35 8.7696
35.2 9.6768
35.4 6.53184
35.6 4.95936
35.8 4.59648
36 4.536
36.2 7.49952
36.4 9.91872
36.6 10.1002
36.8 9.85824
37 9.85824
37.2 9.79776
37.4 9.85824
37.6 9.85824
37.8 9.85824
38 9.79776
38.2 9.85824
38.4 6.10848
38.6 4.8384
38.8 4.71744
39 4.59648
39.2 4.47552
39.4 8.52768
39.6 10.1002
39.8 9.61632
40 5.7456
40.2 4.89888
40.4 4.59648
40.6 6.77376
40.8 6.53184
41 4.89888
41.2 4.65696
41.4 6.048
41.6 5.50368
41.8 9.79776
42 7.01568
42.2 4.95936
42.4 9.55584
42.6 6.59232
42.8 5.38272
43 5.86656
43.2 4.77792
43.4 9.49536
43.6 10.1002
43.8 9.85824
44 9.55584
44.2 5.7456
44.4 4.89888
44.6 4.65696
44.8 4.8384
45 8.22528
45.2 5.20128
45.4 8.40672
45.6 10.1002
45.8 9.85824
46 9.85824
46.2 9.85824
46.4 9.79776
46.6 9.85824
46.8 9.85824
47 9.072
47.2 5.50368
47.4 5.50368
47.6 8.1648
47.8 10.1002
48 7.07616
48.2 5.01984
48.4 4.65696
48.6 4.65696
48.8 4.536
49 6.3504
49.2 5.62464
49.4 4.77792
49.6 4.41504
49.8 8.52768
50 9.6768
50.2 10.1002
50.4 6.71328
50.6 4.95936
50.8 4.77792
51 9.91872
51.2 8.83008
51.4 5.32224
51.6 4.77792
51.8 4.59648
52 4.536
52.2 4.536
52.4 4.536
52.6 4.41504
52.8 4.77792
53 4.71744
53.2 4.77792
53.4 4.77792
53.6 4.77792
53.8 5.62464
54 8.95104
54.2 9.9792
54.4 10.1002
54.6 9.85824
54.8 9.79776
55 8.70912
55.2 6.53184
55.4 7.80192
55.6 5.1408
55.8 5.50368
56 4.65696
56.2 4.59648
56.4 7.49952
56.6 10.0397
56.8 10.0397
57 7.56
57.2 9.49536
57.4 9.31392
57.6 8.1648
57.8 9.85824
58 9.85824
58.2 9.79776
58.4 9.85824
58.6 9.85824
58.8 9.85824
59 9.79776
59.2 8.58816
59.4 9.85824
59.6 9.79776
59.8 9.85824
60 9.85824
