0.200001 0.604317
0.400001 6.18
0.600001 16.14
0.800001 9.96
1 9.84
1.2 4.44
1.4 10.32
1.6 10.5
1.8 10.5
2 10.2
2.2 10.86
2.4 9.48
2.6 10.14
2.8 9.96
3 10.14
3.2 10.02
3.4 9.78
3.6 10.26
3.8 9.66
4 10.08
4.2 9.84
4.4 10.08
4.6 10.74
4.8 9.24
5 10.08
5.2 9.84
5.4 10.08
5.6 10.2
5.8 9.72
6 10.26
6.2 9.66
6.4 10.14
6.6 9.78
6.8 10.14
7 10.68
7.2 9.24
7.4 10.08
7.6 9.84
7.8 10.08
8 10.26
8.2 9.66
8.4 10.2
8.6 9.78
8.8 10.08
9 9.84
9.2 10.08
9.4 10.68
9.6 9.24
9.8 10.08
10 9.84
10.2 8.16
10.4 0.6
10.6 4.32
10.8 10.38
11 10.26
11.2 10.68
11.4 9.84
11.6 10.26
11.8 10.2
12 10.2
12.2 10.62
12.4 9.72
12.6 10.14
12.8 10.14
13 10.14
13.2 10.56
13.4 9.42
13.6 10.14
13.8 9.78
14 10.14
14.2 10.5
14.4 9.36
14.6 10.14
14.8 9.84
15 10.08
15.2 10.5
15.4 9.42
15.6 10.08
15.8 9.84
16 10.08
16.2 10.5
16.4 9.42
16.6 10.08
16.8 9.84
17 10.08
17.2 10.56
17.4 9.36
17.6 10.08
17.8 9.84
18 10.08
18.2 10.56
18.4 9.36
18.6 10.14
18.8 9.78
19 10.14
19.2 10.5
19.4 9.42
19.6 10.08
19.8 9.84
20 10.08
20.2 10.56
20.4 9.36
20.6 10.08
20.8 0.42
21 2.28
21.2 10.68
21.4 9.84
21.6 10.26
21.8 10.26
22 10.26
22.2 10.62
22.4 9.84
22.6 10.14
22.8 10.14
23 10.2
23.2 10.5
23.4 9.72
23.6 10.14
23.8 9.96
24 10.08
24.2 10.5
24.4 9.42
24.6 10.08
24.8 9.84
25 10.08
25.2 10.5
25.4 9.42
25.6 10.08
25.8 9.84
26 10.08
26.2 10.5
26.4 9.42
26.6 10.08
26.8 9.84
27 10.08
27.2 10.5
27.4 9.42
27.6 10.14
27.8 9.84
28 10.08
28.2 10.44
28.4 9.48
28.6 10.08
28.8 9.84
29 10.08
29.2 10.5
29.4 9.42
29.6 10.08
29.8 9.84
30 10.08
30.2 10.5
30.4 9.42
30.6 10.08
30.8 9.84
31 10.08
31.2 2.7
31.4 0.72
31.6 9.42
31.8 11.04
32 9.42
32.2 10.26
32.4 10.26
32.6 10.26
32.8 11.04
33 9.36
33.2 10.2
33.4 10.14
33.6 10.14
33.8 10.92
34 9.36
34.2 10.14
34.4 9.96
34.6 10.08
34.8 10.68
35 9.24
35.2 10.08
35.4 9.84
35.6 10.08
35.8 10.68
36 9.24
36.2 10.08
36.4 9.84
36.6 10.08
36.8 10.68
37 9.24
37.2 10.08
37.4 9.84
37.6 10.08
37.8 10.68
38 9.24
38.2 10.14
38.4 9.78
38.6 10.14
38.8 10.62
39 9.3
39.2 10.08
39.4 9.84
39.6 10.08
39.8 10.62
40 9.3
40.2 10.08
40.4 9.84
40.6 10.08
40.8 10.62
41 9.3
41.2 10.08
41.4 9.84
41.6 4.38
41.8 0.84
42 7.98
42.2 10.14
42.4 10.26
42.6 10.5
42.8 10.02
43 10.32
43.2 10.14
43.4 10.2
43.6 10.38
43.8 9.9
44 10.2
44.2 10.08
44.4 10.14
44.6 10.14
44.8 9.84
45 10.2
45.2 9.72
45.4 10.14
45.6 10.02
45.8 9.84
46 10.14
46.2 9.78
46.4 10.08
46.6 10.08
46.8 9.84
47 10.2
47.2 9.78
47.4 10.08
47.6 10.08
47.8 9.84
48 10.14
48.2 9.78
48.4 10.08
48.6 10.08
48.8 9.84
49 10.14
49.2 9.78
49.4 10.08
49.6 10.08
49.8 9.84
50 10.14
50.2 9.78
50.4 10.08
50.6 10.08
50.8 9.84
51 10.2
51.2 9.72
51.4 10.14
51.6 10.02
51.8 9.9
52 6.18
52.2 0.66
52.4 5.94
52.6 10.38
52.8 10.26
53 10.98
53.2 9.54
53.4 10.26
53.6 10.2
53.8 10.2
54 10.86
54.2 9.42
54.4 10.2
54.6 10.08
54.8 10.14
55 10.68
55.2 9.36
55.4 10.14
55.6 9.78
55.8 10.08
56 10.56
56.2 9.36
56.4 10.08
56.6 9.84
56.8 10.08
57 10.56
57.2 9.36
57.4 10.14
57.6 9.78
57.8 10.14
58 10.5
58.2 9.42
58.4 10.08
58.6 9.84
58.8 10.08
59 10.5
59.2 9.42
59.4 10.08
59.6 9.84
59.8 10.08
